customer_id,customer_name,customer_email,phone_number
1,Customer1,customer1@example.com,12345671
2,Customer2,customer2@example.com,12345672
3,Customer3,customer3@example.com,12345673
4,Customer4,customer4@example.com,12345674
5,Customer5,customer5@example.com,12345675
6,Customer6,customer6@example.com,12345676
7,Customer7,customer7@example.com,12345677
8,Customer8,customer8@example.com,12345678
9,Customer9,customer9@example.com,12345679
10,Customer10,customer10@example.com,123456710
11,Customer11,customer11@example.com,123456711
12,Customer12,customer12@example.com,123456712
13,Customer13,customer13@example.com,123456713
14,Customer14,customer14@example.com,123456714
15,Customer15,customer15@example.com,123456715
16,Customer16,customer16@example.com,123456716
17,Customer17,customer17@example.com,123456717
18,Customer18,customer18@example.com,123456718
19,Customer19,customer19@example.com,123456719
20,Customer20,customer20@example.com,123456720
21,Customer21,customer21@example.com,123456721
22,Customer22,customer22@example.com,123456722
23,Customer23,customer23@example.com,123456723
24,Customer24,customer24@example.com,123456724
25,Customer25,customer25@example.com,123456725
26,Customer26,customer26@example.com,123456726
27,Customer27,customer27@example.com,123456727
28,Customer28,customer28@example.com,123456728
29,Customer29,customer29@example.com,123456729
30,Customer30,customer30@example.com,123456730
31,Customer31,customer31@example.com,123456731
32,Customer32,customer32@example.com,123456732
33,Customer33,customer33@example.com,123456733
34,Customer34,customer34@example.com,123456734
35,Customer35,customer35@example.com,123456735
36,Customer36,customer36@example.com,123456736
37,Customer37,customer37@example.com,123456737
38,Customer38,customer38@example.com,123456738
39,Customer39,customer39@example.com,123456739
40,Customer40,customer40@example.com,123456740
41,Customer41,customer41@example.com,123456741
42,Customer42,customer42@example.com,123456742
43,Customer43,customer43@example.com,123456743
44,Customer44,customer44@example.com,123456744
45,Customer45,customer45@example.com,123456745
46,Customer46,customer46@example.com,123456746
47,Customer47,customer47@example.com,123456747
48,Customer48,customer48@example.com,123456748
49,Customer49,customer49@example.com,123456749
50,Customer50,customer50@example.com,123456750
51,Customer51,customer51@example.com,123456751
52,Customer52,customer52@example.com,123456752
53,Customer53,customer53@example.com,123456753
54,Customer54,customer54@example.com,123456754
55,Customer55,customer55@example.com,123456755
56,Customer56,customer56@example.com,123456756
57,Customer57,customer57@example.com,123456757
58,Customer58,customer58@example.com,123456758
59,Customer59,customer59@example.com,123456759
60,Customer60,customer60@example.com,123456760
61,Customer61,customer61@example.com,123456761
62,Customer62,customer62@example.com,123456762
63,Customer63,customer63@example.com,123456763
64,Customer64,customer64@example.com,123456764
65,Customer65,customer65@example.com,123456765
66,Customer66,customer66@example.com,123456766
67,Customer67,customer67@example.com,123456767
68,Customer68,customer68@example.com,123456768
69,Customer69,customer69@example.com,123456769
70,Customer70,customer70@example.com,123456770
71,Customer71,customer71@example.com,123456771
72,Customer72,customer72@example.com,123456772
73,Customer73,customer73@example.com,123456773
74,Customer74,customer74@example.com,123456774
75,Customer75,customer75@example.com,123456775
76,Customer76,customer76@example.com,123456776
77,Customer77,customer77@example.com,123456777
78,Customer78,customer78@example.com,123456778
79,Customer79,customer79@example.com,123456779
80,Customer80,customer80@example.com,123456780
81,Customer81,customer81@example.com,123456781
82,Customer82,customer82@example.com,123456782
83,Customer83,customer83@example.com,123456783
84,Customer84,customer84@example.com,123456784
85,Customer85,customer85@example.com,123456785
86,Customer86,customer86@example.com,123456786
87,Customer87,customer87@example.com,123456787
88,Customer88,customer88@example.com,123456788
89,Customer89,customer89@example.com,123456789
90,Customer90,customer90@example.com,123456790
91,Customer91,customer91@example.com,123456791
92,Customer92,customer92@example.com,123456792
93,Customer93,customer93@example.com,123456793
94,Customer94,customer94@example.com,123456794
95,Customer95,customer95@example.com,123456795
96,Customer96,customer96@example.com,123456796
97,Customer97,customer97@example.com,123456797
98,Customer98,customer98@example.com,123456798
99,Customer99,customer99@example.com,123456799
100,Customer100,customer100@example.com,1234567100
